[23:46:39 03/10/19] [ERROR] CMySQLQuery::Execute[@_LoadBusiness] - (error #1066) Not unique table/alias: 'biz' (Query: "SELECT biz.ID, biz.X, biz.Y, biz.Z, CONVERT(biz.Type, SIGNED) AS Type, biz.Price, IFNULL(biz.OwnerID, -1) AS OwnerID, IFNULL(players.Name, 'Отсутсвует') AS OwnerName, biz.Prod, biz.MaxProd, biz.Cash, biz.RentPrice, biz.RentDay FROM biz LEFT OUTER JOIN playersON biz.OwnerID = players.ID")
[05:01:51 03/11/19] [ERROR] mysql_errno - invalid connection handle (id: 1)
[05:01:52 03/11/19] [WARNING] CMySQLHandle::Create - connection already exists
[20:15:09 03/11/19] [WARNING] cache_get_row_count - no active cache
[00:40:20 03/12/19] [ERROR] CMySQLQuery::Execute[] - (error #2013) Lost connection to MySQL server during query (Query: "UPDATE players SET  `isOnline`='0' WHERE ID=1616 LIMIT 1")
[00:40:20 03/12/19] [ERROR] CMySQLQuery::Execute[] - (error #2013) Lost connection to MySQL server during query (Query: "UPDATE players SET  `Wanted`='0' WHERE ID=1616 LIMIT 1")
[00:40:20 03/12/19] [ERROR] CMySQLQuery::Execute[] - (error #2013) Lost connection to MySQL server during query (Query: "UPDATE players SET  `Mileage`='0' WHERE ID=1616 LIMIT 1")
[00:40:20 03/12/19] [ERROR] CMySQLQuery::Execute[] - (error #2013) Lost connection to MySQL server during query (Query: "UPDATE `players` SET `Online` = 889 WHERE Name = 'Ricky_Lawrence'")
[00:40:39 03/12/19] [ERROR] CMySQLQuery::Execute[] - (error #2013) Lost connection to MySQL server during query (Query: "UPDATE players SET `LastDate` = CURRENT_TIMESTAMP(), `isOnline`= 0 WHERE ID = 1616")
[00:41:17 03/12/19] [ERROR] CMySQLQuery::Execute[FindPlayerInTable] - (error #2013) Lost connection to MySQL server during query (Query: "SELECT * FROM players WHERE `Name` = 'Femida_Morens'")
[00:41:41 03/12/19] [ERROR] CMySQLQuery::Execute - (error #2013) Lost connection to MySQL server during query (Query: "SELECT LimitPay FROM players WHERE ID = 116615")
[00:41:41 03/12/19] [WARNING] cache_get_row_count - no active cache
[00:42:01 03/12/19] [ERROR] CMySQLQuery::Execute[] - (error #2013) Lost connection to MySQL server during query (Query: "UPDATE players SET  `Wanted`='0' WHERE ID=116615 LIMIT 1")
[00:42:01 03/12/19] [ERROR] CMySQLQuery::Execute[] - (error #2013) Lost connection to MySQL server during query (Query: "UPDATE `players` SET `isOnline`= 1 WHERE ID = 116615 LIMIT 1")
[00:42:21 03/12/19] [ERROR] CMySQLQuery::Execute[] - (error #2013) Lost connection to MySQL server during query (Query: "UPDATE players SET `LastDate` = CURRENT_TIMESTAMP(), `isOnline`= 0 WHERE ID = 116615")
[17:20:04 03/12/19] [ERROR] CMySQLQuery::Execute[] - (error #1064) You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'CALL `Fraction.SetLeader` (1 , 1616)' at line 1 (Query: "CALL CALL `Fraction.SetLeader` (1 , 1616);")
[17:22:11 03/12/19] [ERROR] CMySQLQuery::Execute[] - (error #1064) You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'CALL `Fraction.SetLeader` (1 , 1616)' at line 1 (Query: "CALL CALL `Fraction.SetLeader` (1 , 1616);")
[19:32:31 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[19:32:31 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[19:34:42 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[19:35:03 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[19:35:03 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[19:35:03 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[19:54:59 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[19:55:20 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[19:55:20 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[19:55:20 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[19:56:40 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[19:57:01 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[19:57:42 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[19:58:03 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[19:58:56 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[19:59:17 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[19:59:17 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[19:59:17 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[19:59:46 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[20:00:07 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[20:00:07 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[20:00:07 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:18:17 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:18:38 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:18:38 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:21:58 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:22:19 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:22:19 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:29:17 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:29:38 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:29:38 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:30:30 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:30:52 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:30:52 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:30:52 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:31:44 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:32:05 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:32:05 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:32:05 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:33:16 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:33:37 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:33:37 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:34:22 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:34:43 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:34:43 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:35:58 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:36:19 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:36:19 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:36:19 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:44:37 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:44:58 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:44:58 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[21:57:30 03/24/19] [ERROR] CMySQLQuery::Execute[] - (error #2013) Lost connection to MySQL server during query (Query: "UPDATE players SET  `MuteTime`='540' WHERE ID=1616 LIMIT 1")
[22:01:05 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[22:01:26 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[22:01:26 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[22:03:05 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[22:03:26 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[22:03:26 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
[22:03:26 03/24/19] [ERROR] CMySQLConnection::Connect - (error #2003) Can't connect to MySQL server on 'l9194338.beget.tech' (10060)
